"","nombre.de.clase.de.la.actividad","codigo.de.la.clase.de.actividad.scian","N"
"1","Casas de juegos electrónicos","713120",17168
"2","Centros de acondicionamiento físico del sector privado","713943",20567
"3","Cantantes y grupos musicales del sector privado","711131",2616
"4","Artistas, escritores y técnicos independientes","711510",1248
"5","Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo","713291",4993
"6","Centros de acondicionamiento físico del sector público","713944",2337
"7","Otros servicios recreativos prestados por el sector privado","713998",1076
"8","Parques acuáticos y balnearios del sector privado","713113",1009
"9","Clubes o ligas de aficionados","713992",753
"10","Grupos musicales del sector público","711132",38
"11","Billares","713991",5017
"12","Boliches","713950",77
"13","Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos","711312",2125
"14","Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos","711311",1004
"15","Parques de diversiones y temáticos del sector privado","713111",255
"16","Parques de diversiones y temáticos del sector público","713112",631
"17","Compañías de danza del sector privado","711121",68
"18","Campos de golf","713910",111
"19","Clubes deportivos del sector privado","713941",639
"20","Clubes deportivos del sector público","713942",180
"21","Equipos deportivos profesionales","711212",87
"22","Otros juegos de azar","713299",467
"23","Museos del sector público","712112",812
"24","Compañías de teatro del sector privado","711111",65
"25","Museos del sector privado","712111",430
"26","Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos","711320",156
"27","Compañías de teatro del sector público","711112",39
"28","Jardines botánicos y zoológicos del sector privado","712131",68
"29","Otros servicios recreativos prestados por el sector público","713999",41
"30","Marinas turísticas","713930",65
"31","Otras compañías y grupos de espectáculos artísticos del sector privado","711191",78
"32","Parques acuáticos y balnearios del sector público","713114",86
"33","Grutas, parques naturales y otros sitios del patrimonio cultural de la nación","712190",28
"34","Agentes y representantes de artistas, deportistas y similares","711410",85
"35","Jardines botánicos y zoológicos del sector público","712132",39
"36","Deportistas profesionales","711211",7
"37","Sitios históricos","712120",4
"38","Compañías de danza del sector público","711122",2
